station,dst_score,total_flow,Latitude,Longitude
312132,0.8275220932752209,402.8571428571428,38.409782,-121.48412
312133,1.6021923723668035,533.1071428571429,38.428229,-121.487572
312134,0.8321660158941429,411.5357142857143,38.412421,-121.484289
313159,1.8433164602411007,1029.892857142857,38.443682,-121.490799
314652,1.321975459415785,828.5714285714286,38.443625,-121.491193
314768,1.9228512082570195,963.0,38.489846,-121.514043
314773,2.0916062607906087,984.2142857142856,38.489782,-121.514316
314780,3.381046759976854,1018.1785714285714,38.510081,-121.521912
314786,2.419487918095627,943.6428571428572,38.510029,-121.522187
314792,3.081418236033228,938.6071428571428,38.533567,-121.51713
314799,4.0178486938874745,1840.0,38.533625,-121.517368
314808,2.5781788040439966,1081.2857142857142,38.568913,-121.510147
314821,4.662864593850332,1830.928571428572,38.59013,-121.504305
314828,4.604210434570626,1996.2857142857144,38.59013699999999,-121.504623
314835,3.5865053369181044,1401.142857142857,38.55921,-121.513859
314843,4.017962553871368,1839.857142857143,38.559254,-121.514189
314848,3.4985300636912626,1412.7142857142858,38.548243,-121.509639
314853,4.0178486938874745,1840.0,38.54827,-121.509944
314876,1.288695346395796,551.6071428571429,38.480219,-121.509724
314877,1.969894846282325,704.4642857142857,38.480069,-121.509949
314886,2.186944431594764,690.1785714285714,38.482406000000005,-121.510962
314909,3.1049520227204663,1102.2142857142858,38.498603,-121.517203
314936,3.299177954796839,1370.0,38.526156,-121.52084
314955,4.0178486938874745,1840.0,38.57689,-121.507614
314982,4.017933516193895,1515.857142857143,38.581084,-121.504268
314994,3.9755620070640845,1399.5,38.614683,-121.512458
315006,3.7366088731792164,1315.2857142857142,38.617489,-121.513873
315017,3.854042789864438,1413.892857142857,38.58608,-121.502951
315030,3.9734614417499468,1618.2857142857142,38.59567,-121.50418
315042,3.7132343437194186,1316.642857142857,38.607001,-121.508425
315054,4.005899996288039,1508.892857142857,38.60756,-121.508402
315060,1.109358538628706,129.64285714285714,38.428356,-121.487996
315927,3.2969879948100704,1170.0,38.64377,-121.526374
315938,3.2972609622288633,1351.857142857143,38.642046,-121.525792
315955,2.8533634548957227,1113.678571428571,38.644208,-121.526971
315969,2.9647362516679276,1165.25,38.64158200000001,-121.525185
316073,2.780223609947497,1169.7142857142858,38.566166,-121.513
316074,2.780223609947497,1169.7142857142858,38.566118,-121.51304
316095,0.9691770221257694,349.0,38.673195,-121.637449
316096,0.9598796367356915,383.4285714285714,38.67346100000001,-121.637445
317802,0.9170716387120369,648.75,38.389782,-121.47958
317806,0.8919042432324792,630.5714285714286,38.389764,-121.479957
317814,1.7302724116882153,973.1428571428572,38.43602500000001,-121.489227
317815,1.2294424677568594,577.8928571428571,38.435996,-121.48957699999998
317820,2.5781788040439966,1081.2857142857142,38.442351,-121.490528
317825,2.5781788040439966,1081.2857142857142,38.442298,-121.4909
317830,2.0442980260683963,1052.5357142857142,38.47278,-121.500846
317835,1.8744498232231546,1066.5357142857142,38.47261099999999,-121.50114999999998
317842,1.5956185472012596,982.8571428571428,38.665158,-121.53841
317843,2.8680271062757696,939.3214285714286,38.665003,-121.537985
318249,2.3774603204604214,945.1785714285714,38.62811800000001,-121.518745
318259,2.516213452148475,953.1785714285714,38.628131,-121.51875200000002
318484,4.017751700023336,1839.857142857143,38.575811,-121.508379
318599,2.4799121969013966,1082.5357142857142,38.498579,-121.517451
318626,3.72971443260205,1762.571428571429,38.526211,-121.521086
318632,4.0178486938874745,1840.0,38.595674,-121.503864
318674,4.023176474449667,1845.678571428572,38.58113,-121.504566
318698,0.9141243038549322,420.2142857142857,38.673663,-121.726747
318711,2.6562343092075897,1265.642857142857,38.657434,-121.53417
318721,2.9876547342050146,1200.75,38.655262,-121.53299
319306,3.820793265132598,1987.5,38.597326,-121.503805
319314,4.443495725477449,2131.285714285714,38.597312,-121.504129
319767,1.8749582787674755,631.5714285714286,38.465145,-121.496322
319780,2.589237748926104,817.0,38.46759000000001,-121.497215
319793,1.5565447369767071,609.0714285714286,38.467403,-121.497538
319805,1.73881813801904,654.8928571428571,38.465105,-121.496723
601241,0.850147025228931,460.1071428571428,35.486091,-119.516913
601277,0.8152131374393727,468.8928571428572,35.587296,-119.62763
601278,0.811287870643412,462.5,35.528851,-119.565728
601279,0.8373702085576995,467.1428571428572,35.503831,-119.53884
601280,0.8205205129508344,453.3571428571428,35.403061,-119.402843
601281,0.665952135279814,400.82142857142856,35.17005,-119.120044
601282,0.849308809962714,678.2857142857143,35.094803,-119.036825
601283,0.7135785070391308,469.6071428571428,35.063307,-119.00312900000002
601284,0.7065757771790974,420.0357142857143,35.022381,-118.960142
601285,1.7985898454286178,972.5357142857144,34.967799,-118.939104
601286,1.7757631256546933,963.5714285714286,34.914506,-118.923609
601309,0.8019865788701853,533.1071428571429,35.209575,-119.163095
601310,0.6996672202244608,417.1428571428572,35.271319,-119.228751
601315,0.8126077204233098,445.9642857142857,35.442203,-119.456402
601318,0.7162608444586301,446.75,35.667514,-119.69125900000002
601326,0.8468379699025429,592.0,35.875808,-119.852701
601335,0.7596298607356332,516.6785714285714,36.444085,-120.401418
601336,0.7676524349014858,544.7857142857143,36.678379,-120.652378
601337,0.801268607252052,653.25,36.77864,-120.724386
601338,0.6832076788234834,429.3928571428572,36.853708,-120.77604
601339,1.8994605956538513,1093.571428571429,34.993067,-118.947281
601340,0.7761257067438879,547.0714285714286,36.644074,-120.626097
601505,0.7156666014680647,487.1071428571428,35.934586,-119.911797
601506,0.73467805121967,485.5357142857143,35.947416,-119.92494
601510,1.8222810946553059,1068.857142857143,34.939412,-118.929744
601516,0.7052990619928171,420.2857142857143,35.320704,-119.287451
601518,0.8476917026462732,464.1785714285714,35.36547,-119.350584
601519,0.7733534295686431,424.7142857142857,35.415413,-119.419797
601589,0.7332194172892614,479.6071428571428,36.060874,-120.075363
601590,0.8908649136074526,738.3214285714286,36.077043,-120.102109
601591,0.7218130430911521,476.1428571428572,36.209496,-120.215386
601592,0.6266671146548457,444.2857142857143,36.252899,-120.24267
601731,0.7868425960520012,528.8928571428571,36.361347,-120.327406
601732,0.7599062005751477,512.3571428571429,36.384978,-120.348524
601734,0.6673003560825633,387.1428571428572,35.839368,-119.819753
601735,0.13104704288329838,133.35714285714286,35.804441,-119.793225
602241,0.8437492699236095,480.3928571428572,35.485888,-119.517128
602277,0.793613177442894,453.7857142857143,35.587101,-119.627797
602278,0.7930157844770354,467.82142857142856,35.528613,-119.565846
602279,0.7904200860298881,472.2142857142857,35.503529,-119.538996
602280,0.8053114957725035,474.5357142857143,35.402754,-119.40312000000002
602281,0.6630833905745659,466.5357142857143,35.169945,-119.120437
602282,0.8319344559676208,669.3214285714286,35.094442,-119.036928
602283,0.6416958153221443,461.32142857142856,35.062951,-119.00321700000002
602284,0.9841505020189891,683.9642857142857,35.021369,-118.959684
602285,2.2223267265857465,1086.75,34.967746,-118.939355
602286,1.7879328343069607,915.3928571428572,34.914353,-118.924116
602309,0.6544037193863518,455.9642857142857,35.209404,-119.163358
602310,0.6945553419134797,456.32142857142856,35.270974,-119.228967
602315,0.7994566096046576,473.0,35.441675,-119.456339
602318,0.6927092142116198,415.4285714285714,35.666428,-119.690757
602326,0.6912127999418508,385.9642857142857,35.875646,-119.853016
602335,0.7396312320828563,415.1071428571428,36.443922,-120.401737
602336,0.754318237792252,352.4642857142857,36.678245,-120.65271300000002
602337,0.782894999481382,520.7142857142857,36.778411,-120.72471400000002
602338,0.7781785374739632,339.6428571428572,36.853651,-120.776448
602339,1.8436804684054737,895.9285714285714,34.992818,-118.947493
602340,0.7535415376307956,354.7142857142857,36.643949,-120.62644
602505,0.6925245934531481,376.0,35.934417,-119.912116
602506,0.7206882704658165,384.2142857142857,35.947231,-119.925252
602510,1.7743074338534324,895.4642857142857,34.939167,-118.930795
602516,0.6909723661457282,449.32142857142856,35.320361,-119.28754
602518,0.8788601327985884,509.75,35.365033,-119.350608
602519,0.8236170431055122,482.1428571428572,35.415112,-119.419953
602589,0.7260498661140096,392.5357142857143,36.060723,-120.075539
602590,0.6686284622284582,369.0357142857143,36.076771,-120.102334
602591,0.7037212089012838,380.32142857142856,36.20939,-120.215693
602592,0.5890973745976135,333.2142857142857,36.252771,-120.243043
602731,0.7519296638595022,383.75,36.361194,-120.327718
602732,0.7509337447244885,384.6428571428572,36.384829,-120.348828
602734,0.6982320543547647,456.4285714285714,35.83923,-119.820048
602735,0.13365728892507991,151.25,35.804301,-119.793569
619991,0.8054434850637464,458.3928571428572,35.559089,-119.598218
619999,0.6739863661945847,411.7142857142857,35.250973,-119.20724699999998
629991,0.7601208106539127,454.2142857142857,35.559093,-119.598582
629999,0.6665952012996815,457.8571428571428,35.250749,-119.207364
715898,6.209217137904559,3897.714285714286,33.880183,-118.021787
715918,4.853525549382415,2689.0,33.93311,-118.091005
715920,5.768585379794129,3443.714285714286,33.938544,-118.094941
