,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging,most_utilized_node,least_utilized_node,strongly_connected_components,weakly_connected_components
1,0,0,45,1.9,215,True,116.73893229166667,116.86341145833333,0,"(1.0, 1.0, 10.458636485447906, 1.9945703965458328, 2.1016513480984313)","(0.0, 0.0, 18.0, 1.7184313725490192, 3.8171457217371914)","(0, 0.0, 50, 3.3058823529411763, 8.577247873543024)",37,1,296,44
2,0,1,45,1.9,215,True,107.13606770833334,107.19375,0,"(1.0, 1.0811762320593004, 9.482265225459345, 1.769033123299207, 1.8077210495028024)","(0.0, 0.0, 15.6, 1.0706713780918728, 3.1398198123212575)","(0, 0.0, 35, 1.734982332155477, 4.52676519068094)",16,2,292,44
3,0,2,45,1.9,215,True,95.03645833333333,95.59934895833334,0,"(1.0, 1.0811762320593004, 9.797833826532784, 1.9260516615418395, 1.9871094416015664)","(0.0, 0.0, 16.8, 1.3654362416107382, 3.5311955849765226)","(0, 0.0, 44, 2.028523489932886, 4.856068489593482)",8,3,280,45
4,0,3,45,1.9,215,True,85.91171875,86.63893229166666,0,"(1.0, 1.0811762320593004, 9.47495482248919, 2.2044379159267167, 2.2353937186055948)","(0.0, 0.0, 16.4, 1.7791741472172353, 3.889755088704638)","(0, 0.0, 44, 3.274685816876122, 6.466176751173065)",37,4,270,45
5,0,4,45,1.9,215,True,84.46809895833334,85.94830729166667,0,"(1.0, 1.178656224377259, 9.482265225459345, 2.296347282813354, 2.2301465226016832)","(0.0, 0.0, 15.4, 1.8675241157556268, 3.8839524708783735)","(0, 0.0, 36, 3.2057877813504825, 5.39406294500182)",34,5,269,45
