0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging,most_utilized_node,least_utilized_node,strongly_connected_components,weakly_connected_components
0,0,45,1.9,215,True,112.59231770833333,112.64361979166667,0,"(1.0, 1.0, 8.786745675149971, 2.068660526276552, 1.7750273867306736)","(0.0, 0.0, 16.0, 2.095726495726496, 3.7863992583982515)","(0, 0.0, 22, 3.6552706552706553, 6.498583617166884)",16,1,296,44
0,1,45,1.9,215,True,105.81614583333334,105.885546875,0,"(1.0, 1.178656224377259, 8.92832281349943, 2.4122492618664415, 2.0420672197655074)","(0.0, 0.0, 16.4, 2.3358490566037737, 4.012202817519848)","(0, 0.0, 22, 3.560646900269542, 6.073979109531861)",37,2,289,44
0,2,45,1.9,215,True,93.0703125,93.47005208333333,0,"(1.0, 1.178656224377259, 9.677775848664693, 2.5720401434487785, 2.2637915907430286)","(0.0, 0.0, 16.6, 2.7422960725075525, 4.554231077791744)","(0, 0.0, 22, 2.9637462235649545, 5.22183567712742)",8,3,280,45
0,3,45,1.9,215,True,84.49114583333333,85.22200520833333,0,"(1.0, 1.3259882524244162, 8.837217478667803, 2.6497391091341984, 2.1767564664604575)","(0.0, 0.0, 16.2, 2.791926182237601, 4.271293557494871)","(0, 0.0, 22, 3.1614763552479817, 4.845168262351893)",37,4,270,45
0,4,45,1.9,215,True,81.72161458333333,82.85520833333334,0,"(1.0, 1.2356299794963432, 9.058374669813327, 2.765328822498469, 2.4631315640079636)","(0.0, 0.0, 16.2, 3.004574332909784, 4.827776410826948)","(0, 0.0, 24, 3.0584498094027954, 4.773033008751042)",34,5,269,45
