,0,1,2,3,4,5,6,7,8,9,10,11
0,scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging
1,0,0,90,0.95,430,True,4.7125,5.209635416666667,0,"(1.0, 1.0, 1.49150552377569, 1.0112326078099392, 0.05032649267273029)","(0.0, 0.0, 2.8, 0.03707465718638903, 0.22694735981425304)","(0, 0.0, 11, 0.5063484002031488, 1.7014573631022256)"
2,0,1,90,0.95,430,True,0.8015625,0.9200520833333333,0,"(1.0, 1.2754746876427756, 1.6636023153227844, 1.2692659916683902, 0.1537134472788285)","(0.0, 0.0, 0.6, 0.005789909015715468, 0.04380072398654203)","(0, 0.0, 4, 0.16377171215880892, 0.5820397101109465)"
3,0,2,90,0.95,430,True,1.25234375,1.40234375,0,"(1.0, 1.2754746876427756, 1.6636023153227844, 1.2680319818646963, 0.151252274234286)","(0.0, 0.0, 0.6, 0.011022364217252396, 0.06620649378520664)","(0, 0.0, 4, 0.1365814696485623, 0.5506636779143854)"
4,0,3,90,0.95,430,True,1.30546875,1.3966145833333334,0,"(1.0, 1.2940535242590467, 1.6636023153227844, 1.2799399383790475, 0.1407727408958472)","(0.0, 0.0, 0.6, 0.002037351443123939, 0.027255789505644088)","(0, 0.0, 4, 0.15619694397283532, 0.6134179911294214)"
5,0,4,90,0.95,430,True,1.38046875,1.4953125,0,"(1.0, 1.2016211296691148, 1.6182071916656473, 1.256669714919542, 0.1612016826444944)","(0.0, 0.0, 1.0, 0.005559968228752979, 0.05693439379236556)","(0, 0.0, 4, 0.15250198570293885, 0.5753195187422194)"
6,0,4,90,0.95,430,True,1.1713541666666667,1.3333333333333333,0,"(1.0, 1.2940535242590467, 1.6661138715843953, 1.2829282134849773, 0.15620603797189186)","(0.0, 0.0, 0.8, 0.014568487727632619, 0.08371775067544768)","(0, 0.0, 4, 0.16547901821060965, 0.5958519089357766)"
7,1,0,45,1.9,430,True,10.984375,12.2953125,0,"(1.0, 1.0, 2.781356578195068, 1.0556465691957448, 0.19418315081882973)","(0.0, 0.0, 4.6, 0.10114068441064639, 0.44895170586633487)","(0, 0.0, 21, 0.6825095057034221, 2.3653788864631418)"
8,1,1,45,1.9,430,True,7.638020833333333,9.225520833333333,0,"(1.0, 1.2016211296691148, 2.9800248918492245, 1.2747902369922703, 0.2759042871917429)","(0.0, 0.0, 3.8, 0.09953379953379954, 0.386997005704211)","(0, 0.0, 12, 0.5909090909090909, 1.8217185880681899)"
9,1,2,45,1.9,430,True,7.643489583333333,8.824479166666666,0,"(1.0, 1.2016211296691148, 2.7294761109788572, 1.237552342647351, 0.2295776999959381)","(0.0, 0.0, 3.2, 0.05418138987043581, 0.29711541357237764)","(0, 0.0, 13, 0.46996466431095407, 1.7254022930772799)"
10,1,3,45,1.9,430,True,6.467708333333333,8.007291666666667,0,"(1.0, 1.2016211296691148, 2.4923835757512958, 1.2290130183225794, 0.25681965521365036)","(0.0, 0.0, 2.8, 0.08705302096177558, 0.36514959304676464)","(0, 0.0, 12, 0.46979038224414305, 1.739513185143622)"
11,1,4,45,1.9,430,True,7.2046875,8.952864583333334,0,"(1.0, 1.2016211296691148, 2.7294761109788572, 1.2422166305560907, 0.2431051778355722)","(0.0, 0.0, 3.0, 0.06582857142857142, 0.31373924438837386)","(0, 0.0, 15, 0.5428571428571428, 2.053886311262587)"
