,station,district,route,station_length,samples,percent_observed,total_flow,avg_occupancy,avg_speed,delay_35,delay_40,delay_45,delay_50,delay_55,delay_60,hour,Latitude,Longitude,direction_of_travel,lane_type,total_flow_normalization,dst_score
0,308511,3.0,50.0,4.200285714285714,231.25,78.57142857142857,133.78571428571428,0.0059857142857142,66.59642857142858,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.761062,-120.569835,E,ML,0.015027037435214453,0.15027037435214452
1,308512,3.0,50.0,3.995,214.17857142857144,0.0,578.5357142857143,0.0271035714285714,63.86785714285714,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.761182,-120.569866,W,ML,0.06498210875948718,0.6498210875948718
2,311903,3.0,50.0,0.883,346.9642857142857,31.821428571428573,1377.392857142857,0.0172464285714285,65.27857142857142,0.0,0.0,0.0,0.0,0.0,0.0178571428571428,23.0,38.566906,-121.505888,E,ML,0.15471109256911794,1.5471109256911795
3,311974,3.0,50.0,0.466,231.42857142857144,38.57142857142857,4033.5,0.0403642857142857,65.96785714285714,0.0,0.0,0.0107142857142857,0.0285714285714285,0.0571428571428571,0.1428571428571428,23.0,38.564153,-121.495585,E,ML,0.4530495338649893,4.530495338649893
4,312010,3.0,50.0,1.218,231.32142857142856,38.57142857142857,3734.928571428572,0.0435642857142857,68.04642857142856,0.0,0.0,0.0,0.0,0.0035714285714285,0.075,23.0,38.56381600000001,-121.49331599999998,W,ML,0.41951348662569604,4.195134866256961
5,312098,3.0,50.0,0.483,231.2142857142857,48.21428571428572,898.2857142857143,0.0140392857142857,68.22142857142858,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.55902,-121.476106,E,ML,0.10089696891898398,1.0089696891898399
6,312103,3.0,50.0,0.954,347.1428571428572,0.0,2888.3571428571427,0.0470392857142857,67.68214285714285,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.560995,-121.462999,W,ML,0.324425153640025,3.2442515364002498
7,312132,3.0,5.0,1.347,0.0,0.0,402.8571428571428,0.0273392857142857,64.79642857142856,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,23.0,38.409782,-121.48412,S,ML,0.04524959483962066,0.4524959483962066
8,312133,3.0,5.0,0.8229999999999998,346.0,96.42857142857144,533.1071428571429,0.0144285714285714,66.425,0.0,0.0,0.0071428571428571,0.0142857142857142,0.0249999999999999,0.0607142857142857,23.0,38.428229,-121.487572,N,ML,0.05987949487331718,0.5987949487331719
9,312134,3.0,5.0,1.342,229.8571428571429,96.42857142857144,411.5357142857143,0.0201928571428571,65.1,0.0107142857142857,0.0357142857142857,0.075,0.125,0.1785714285714285,0.25,23.0,38.412421,-121.484289,N,ML,0.04622438664334654,0.46224386643346543
10,312139,3.0,50.0,0.454,0.0,0.0,4451.392857142857,0.05035,66.675,0.0,0.0,0.0,0.0,0.0,0.0214285714285714,23.0,38.562537,-121.48957699999998,E,ML,0.4999879655332873,4.999879655332872
11,312188,3.0,50.0,0.692,0.0,0.0,1166.7857142857142,0.0199285714285714,67.14642857142857,0.0,0.0,0.0035714285714285,0.0214285714285714,0.0678571428571428,0.1428571428571428,23.0,38.551104,-121.429758,W,ML,0.13105534250092263,1.3105534250092263
12,312205,3.0,50.0,0.468,0.0,0.0,1840.0,0.0299428571428571,68.24285714285715,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.552893,-121.413693,W,ML,0.2066719083455015,2.066719083455015
13,312220,3.0,50.0,0.6900000000000001,0.0,0.0,1403.571428571429,0.0238142857142857,68.44285714285715,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.560891000000005,-121.45953900000002,W,ML,0.15765151393591248,1.5765151393591248
14,312233,3.0,99.0,0.643,346.75,96.42857142857144,758.7857142857143,0.0119892857142857,69.38928571428572,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.468819,-121.416935,N,ML,0.08522809325909406,0.8522809325909406
15,312236,3.0,50.0,0.281,222.8571428571429,0.0,1840.0,0.0299428571428571,68.24285714285715,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.553882,-121.437973,W,ML,0.2066719083455015,2.066719083455015
16,312264,3.0,50.0,0.394,0.0,0.0,1280.928571428571,0.0200607142857142,68.69285714285714,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.558665,-121.381217,W,ML,0.14387606103881512,1.4387606103881512
17,312326,3.0,80.0,0.404,461.8928571428572,85.71428571428571,861.7142857142857,0.0140214285714285,67.82857142857144,0.0,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0071428571428571,23.0,38.632748,-121.502715,W,ML,0.09678920428106096,0.9678920428106096
18,312343,3.0,80.0,0.429,346.6428571428572,92.85714285714286,981.9285714285714,0.0179035714285714,68.63214285714285,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.633055,-121.501501,E,ML,0.11029187593267117,1.1029187593267118
19,312346,3.0,80.0,0.44,346.60714285714283,92.85714285714286,757.0714285714286,0.0183392857142857,66.35357142857143,0.0,0.0,0.0,0.0,0.0,0.025,23.0,38.63434,-121.499686,W,ML,0.0850355417916914,0.8503554179169139
20,312382,3.0,99.0,0.367,346.0,92.89285714285714,718.5,0.0171535714285714,69.03928571428571,0.0,0.0,0.0,0.0,0.0,0.0,23.0,38.473227,-121.421498,N,ML,0.08070313377513198,0.8070313377513199
21,312386,3.0,99.0,0.3729999999999999,346.9642857142857,96.42857142857144,948.4285714285714,0.0109,68.03928571428571,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0071428571428571,0.0107142857142857,23.0,38.477038,-121.425542,N,ML,0.10652909934051123,1.0652909934051122
22,312388,3.0,99.0,0.341,346.85714285714283,96.42857142857144,1055.9642857142858,0.0216,67.53571428571429,0.0,0.0,0.0,0.0,0.0035714285714285,0.0071428571428571,23.0,38.48152799999999,-121.430345,N,ML,0.11860769243112275,1.1860769243112275
23,312420,3.0,99.0,0.322,334.17857142857144,89.28571428571429,1462.25,0.0314642857142857,67.26785714285714,0.0,0.0,0.0,0.0035714285714285,0.0071428571428571,0.025,23.0,38.484562,-121.433775,S,ML,0.1642423902055487,1.6424239020554872
24,312421,3.0,99.0,0.46,344.0,96.42857142857144,1202.9642857142858,0.0409535714285714,66.06428571428572,0.0,0.0,0.0107142857142857,0.025,0.0678571428571428,0.15,23.0,38.488691,-121.437961,N,ML,0.13511898076089923,1.3511898076089923
