,station,district,route,station_length,samples,percent_observed,total_flow,avg_occupancy,avg_speed,delay_35,delay_40,delay_45,delay_50,delay_55,delay_60,hour,Latitude,Longitude,direction_of_travel,lane_type,total_flow_normalization,dst_score
0,308511,3.0,50.0,4.200285714285714,226.67857142857144,78.57142857142857,516.1071428571429,0.0171107142857142,66.71785714285714,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,17.0,38.761062,-120.569835,E,ML,0.03437366090558491,0.34373660905584913
1,308512,3.0,50.0,3.995,98.07142857142856,0.0,1606.821428571429,0.0567928571428571,63.45,0.0,0.0,0.0,0.0,0.0,0.0535714285714285,17.0,38.761182,-120.569866,W,ML,0.10707756034852166,1.0707756034852165
2,311903,3.0,50.0,0.883,347.1428571428572,31.821428571428573,4370.642857142857,0.0972964285714285,51.246428571428574,3.4214285714285717,4.596428571428571,6.775,9.578571428571427,12.892857142857142,16.3,17.0,38.566906,-121.505888,E,ML,0.2913060039042041,2.913060039042041
3,311974,3.0,50.0,0.466,231.42857142857144,38.57142857142857,9966.892857142857,0.1876357142857143,42.63928571428572,24.48928571428571,30.975,36.55714285714286,41.46428571428572,46.04285714285714,50.739285714285714,17.0,38.564153,-121.495585,E,ML,0.6643360472313479,6.6433604723134785
4,312010,3.0,50.0,1.218,231.32142857142856,38.57142857142857,8837.035714285714,0.1976535714285714,44.96428571428572,40.45357142857143,51.25714285714286,62.739285714285714,74.25357142857142,85.66071428571429,96.88214285714284,17.0,38.56381600000001,-121.49331599999998,W,ML,0.589022996714755,5.89022996714755
5,312098,3.0,50.0,0.483,231.39285714285717,48.21428571428572,4566.285714285715,0.0661071428571428,60.075,0.0,0.2857142857142857,1.1428571428571428,2.142857142857143,3.142857142857143,4.082142857142857,17.0,38.55902,-121.476106,E,ML,0.3043469980478979,3.043469980478979
6,312103,3.0,50.0,0.954,347.1428571428572,0.0,5990.321428571428,0.1412642857142857,53.035714285714285,0.0178571428571428,0.9357142857142856,3.082142857142857,6.689285714285715,11.464285714285714,16.814285714285713,17.0,38.560995,-121.462999,W,ML,0.399269152025901,3.9926915202590103
7,312132,3.0,5.0,1.347,0.0,0.0,1379.857142857143,0.0509428571428571,65.88571428571429,0.0,0.0,0.0,0.0,0.0,0.0071428571428571,17.0,38.409782,-121.48412,S,ML,0.09194876922344426,0.9194876922344426
8,312133,3.0,5.0,0.8229999999999998,346.7142857142857,96.42857142857144,2469.3571428571427,0.0489892857142857,67.125,0.0,0.0,0.0,0.0178571428571428,0.0821428571428571,0.2821428571428571,17.0,38.428229,-121.487572,N,ML,0.16457172784840257,1.6457172784840257
9,312134,3.0,5.0,1.342,231.17857142857144,96.42857142857144,1287.071428571429,0.0527928571428571,65.96071428571429,0.0,0.0,0.0035714285714285,0.0285714285714285,0.1178571428571428,0.3678571428571429,17.0,38.412421,-121.484289,N,ML,0.08576393848497836,0.8576393848497836
10,312139,3.0,50.0,0.454,0.0,0.0,9018.75,0.1466892857142857,51.60714285714285,0.1107142857142857,1.3714285714285714,4.164285714285714,7.871428571428572,11.45,15.078571428571427,17.0,38.562537,-121.48957699999998,E,ML,0.6011355520639908,6.011355520639908
11,312188,3.0,50.0,0.692,0.0,0.0,5440.857142857143,0.1479964285714285,52.364285714285714,4.360714285714286,6.989285714285714,10.178571428571429,13.55,16.714285714285715,19.62857142857143,17.0,38.551104,-121.429758,W,ML,0.36264343189068227,3.6264343189068224
12,312205,3.0,50.0,0.468,0.0,0.0,5604.714285714285,0.1441714285714285,48.885714285714286,0.2142857142857142,1.8,4.857142857142857,8.242857142857144,11.528571428571428,14.528571428571428,17.0,38.552893,-121.413693,W,ML,0.3735656810931771,3.735656810931771
