,station,district,route,station_length,samples,percent_observed,total_flow,avg_occupancy,avg_speed,delay_35,delay_40,delay_45,delay_50,delay_55,delay_60,hour,Latitude,Longitude,direction_of_travel,lane_type,total_flow_normalization,dst_score
0,308511,3.0,50.0,4.200285714285714,223.32142857142856,76.17857142857143,544.3928571428571,0.0196,66.21071428571429,0.0,0.0035714285714285,0.0107142857142857,0.0178571428571428,0.0249999999999999,0.0464285714285714,10.0,38.761062,-120.569835,E,ML,0.03554870426687065,0.3554870426687065
1,308512,3.0,50.0,3.995,118.10714285714286,0.0,1555.2142857142858,0.0549464285714285,63.135714285714286,0.0,0.0,0.0,0.0,0.0,0.0678571428571428,10.0,38.761182,-120.569866,W,ML,0.1015550663258643,1.0155506632586428
2,311903,3.0,50.0,0.883,335.8928571428572,31.035714285714285,4804.0,0.0667928571428571,59.31428571428571,0.0,0.0035714285714285,0.0535714285714285,0.3285714285714285,1.4035714285714285,3.310714285714286,10.0,38.566906,-121.505888,E,ML,0.3136998824604937,3.136998824604937
3,311974,3.0,50.0,0.466,223.92857142857144,37.60714285714285,11207.714285714286,0.1234214285714285,57.51428571428572,0.0,0.0142857142857142,0.0678571428571428,0.3999999999999999,2.396428571428572,6.492857142857143,10.0,38.564153,-121.495585,E,ML,0.7318606690423329,7.318606690423329
4,312010,3.0,50.0,1.218,223.8571428571429,37.60714285714285,9911.5,0.1326142857142857,56.71785714285714,0.0142857142857142,0.125,0.7892857142857144,3.314285714285714,9.35,19.52857142857143,10.0,38.56381600000001,-121.49331599999998,W,ML,0.647218231683427,6.472182316834269
5,312098,3.0,50.0,0.483,223.67857142857144,47.035714285714285,3763.821428571429,0.0447392857142857,64.94285714285715,0.0,0.0,0.0,0.0,0.0,0.0142857142857142,10.0,38.55902,-121.476106,E,ML,0.2457765070243848,2.4577650702438483
6,312103,3.0,50.0,0.954,334.60714285714283,0.0,6392.892857142857,0.1032392857142857,60.260714285714286,0.0,0.0,0.0,0.0142857142857142,0.4535714285714285,3.45,10.0,38.560995,-121.462999,W,ML,0.41745415026399746,4.174541502639975
7,312132,3.0,5.0,1.347,0.0,0.0,1064.071428571429,0.0516107142857142,62.010714285714286,0.0,0.0,0.0,0.0,0.0214285714285714,0.3999999999999999,10.0,38.409782,-121.48412,S,ML,0.06948357245471,0.6948357245471
8,312133,3.0,5.0,0.8229999999999998,334.2857142857143,94.03571428571428,2064.1428571428573,0.04795,62.84285714285714,0.0,0.0,0.0607142857142857,0.3785714285714285,1.0071428571428571,1.792857142857143,10.0,38.428229,-121.487572,N,ML,0.13478796246198624,1.3478796246198623
9,312134,3.0,5.0,1.342,223.07142857142856,94.03571428571428,1119.107142857143,0.0557464285714285,62.05714285714286,0.0,0.0178571428571428,0.1785714285714285,0.4607142857142857,1.0285714285714287,1.7714285714285716,10.0,38.412421,-121.484289,N,ML,0.07307738950353551,0.7307738950353551
10,312139,3.0,50.0,0.454,0.0,0.0,9843.642857142857,0.1043428571428571,60.832142857142856,0.0,0.0,0.0,0.0035714285714285,0.1428571428571428,1.917857142857143,10.0,38.562537,-121.48957699999998,E,ML,0.6427871788652774,6.427871788652774
11,312188,3.0,50.0,0.692,0.0,0.0,4627.321428571428,0.08825,63.535714285714285,0.0428571428571428,0.225,0.5285714285714286,1.05,1.6714285714285713,2.485714285714286,10.0,38.551104,-121.429758,W,ML,0.3021628202018694,3.021628202018694
12,312205,3.0,50.0,0.468,0.0,0.0,4828.571428571428,0.0824142857142857,62.35714285714285,0.0,0.0,0.0,0.0,0.0,0.4714285714285714,10.0,38.552893,-121.413693,W,ML,0.3153043900072762,3.1530439000727624
13,312220,3.0,50.0,0.6900000000000001,0.0,0.0,4447.714285714285,0.0776285714285714,62.9,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,10.0,38.560891000000005,-121.45953900000002,W,ML,0.2904345230321461,2.904345230321461
14,312233,3.0,99.0,0.643,335.4642857142857,94.03571428571428,3108.535714285714,0.0515607142857142,64.66785714285714,0.0,0.0035714285714285,0.0107142857142857,0.0357142857142857,0.075,0.1928571428571428,10.0,38.468819,-121.416935,N,ML,0.2029865295994328,2.029865295994328
