,station,district,route,station_length,samples,percent_observed,total_flow,avg_occupancy,avg_speed,delay_35,delay_40,delay_45,delay_50,delay_55,delay_60,hour,Latitude,Longitude,direction_of_travel,lane_type,total_flow_normalization,dst_score
0,308511,3.0,50.0,4.200285714285714,230.9642857142857,78.57142857142857,353.1428571428572,0.0126428571428571,66.375,0.0,0.0,0.0,0.0,0.0035714285714285,0.0142857142857142,19.0,38.761062,-120.569835,E,ML,0.022835816759198536,0.22835816759198535
1,308512,3.0,50.0,3.995,137.07142857142858,0.0,1076.0,0.0413428571428571,63.525,0.0,0.0,0.0,0.0,0.0,0.0285714285714285,19.0,38.761182,-120.569866,W,ML,0.06957903391192691,0.695790339119269
2,311903,3.0,50.0,0.883,347.1428571428572,31.821428571428573,3847.75,0.048275,63.010714285714286,0.0,0.0,0.0071428571428571,0.0714285714285714,0.2464285714285714,0.7678571428571429,19.0,38.566906,-121.505888,E,ML,0.24881294399127954,2.4881294399127953
3,311974,3.0,50.0,0.466,231.42857142857144,38.57142857142857,8996.035714285714,0.0897392857142857,62.59285714285714,0.1321428571428571,0.2464285714285714,0.425,0.7000000000000001,1.1214285714285714,2.142857142857143,19.0,38.564153,-121.495585,E,ML,0.5817244182501778,5.817244182501779
4,312010,3.0,50.0,1.218,231.42857142857144,38.57142857142857,8991.392857142857,0.1070428571428571,62.96428571428572,2.382142857142857,2.95,3.492857142857143,4.078571428571428,4.789285714285714,6.742857142857143,19.0,38.56381600000001,-121.49331599999998,W,ML,0.581424190076766,5.8142419007676605
5,312098,3.0,50.0,0.483,231.28571428571428,48.21428571428572,2798.714285714286,0.0334964285714285,67.14642857142857,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.55902,-121.476106,E,ML,0.1809775429326288,1.809775429326288
6,312103,3.0,50.0,0.954,347.1428571428572,0.0,5809.0,0.0864928571428571,64.73571428571428,0.0,0.0142857142857142,0.125,0.3285714285714285,0.5535714285714286,0.932142857142857,19.0,38.560995,-121.462999,W,ML,0.37563625278288426,3.7563625278288426
7,312132,3.0,5.0,1.347,0.0,0.0,953.4642857142856,0.0415285714285714,65.53214285714286,0.0,0.0,0.0,0.0,0.0,0.0035714285714285,19.0,38.409782,-121.48412,S,ML,0.06165531958134335,0.6165531958134335
8,312133,3.0,5.0,0.8229999999999998,346.7142857142857,96.42857142857144,1583.392857142857,0.034275,66.56071428571428,0.0,0.0,0.0,0.0107142857142857,0.0714285714285714,0.2535714285714285,19.0,38.428229,-121.487572,N,ML,0.10238935437086032,1.0238935437086032
9,312134,3.0,5.0,1.342,231.0,96.42857142857144,950.6785714285714,0.0412607142857142,65.81071428571428,0.0,0.0,0.0,0.0142857142857142,0.0678571428571428,0.2535714285714286,19.0,38.412421,-121.484289,N,ML,0.061475182677296285,0.6147518267729628
10,312139,3.0,50.0,0.454,0.0,0.0,8091.321428571428,0.0816535714285714,64.02857142857142,0.0,0.0,0.0035714285714285,0.0642857142857143,0.2321428571428571,0.6821428571428572,19.0,38.562537,-121.48957699999998,E,ML,0.5232214944896583,5.232214944896583
11,312188,3.0,50.0,0.692,0.0,0.0,3315.5714285714284,0.0614821428571428,66.31071428571428,0.0964285714285714,0.2321428571428571,0.3964285714285714,0.6642857142857144,0.9785714285714286,1.3285714285714287,19.0,38.551104,-121.429758,W,ML,0.2143998669758247,2.143998669758247
12,312205,3.0,50.0,0.468,0.0,0.0,4092.428571428572,0.0645571428571428,67.08571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.552893,-121.413693,W,ML,0.2646349687300811,2.6463496873008108
13,312220,3.0,50.0,0.6900000000000001,0.0,0.0,3368.5714285714284,0.0553285714285714,67.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.560891000000005,-121.45953900000002,W,ML,0.2178270870476947,2.178270870476947
14,312233,3.0,99.0,0.643,346.60714285714283,96.42857142857144,2123.25,0.0336892857142857,68.52142857142857,0.0,0.0,0.0,0.0107142857142857,0.0214285714285714,0.0357142857142857,19.0,38.468819,-121.416935,N,ML,0.13729896259618848,1.3729896259618848
15,312236,3.0,50.0,0.281,222.8571428571429,0.0,4092.428571428572,0.0645571428571428,67.08571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.553882,-121.437973,W,ML,0.2646349687300811,2.6463496873008108
16,312264,3.0,50.0,0.394,0.0,0.0,3321.8214285714284,0.0503857142857142,67.66785714285714,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.558665,-121.381217,W,ML,0.21480402028618673,2.1480402028618673
17,312326,3.0,80.0,0.404,462.7142857142857,85.71428571428571,2382.5714285714284,0.0343964285714285,67.69285714285715,0.0,0.0,0.0,0.0035714285714285,0.0107142857142857,0.0214285714285714,19.0,38.632748,-121.502715,W,ML,0.15406786080498103,1.5406786080498103
18,312343,3.0,80.0,0.429,347.10714285714283,92.85714285714286,2370.035714285714,0.0429214285714285,67.49285714285715,0.0,0.0,0.0,0.0,0.0,0.025,19.0,38.633055,-121.501501,E,ML,0.1532572447367692,1.5325724473676918
19,312346,3.0,80.0,0.44,346.82142857142856,92.85714285714286,2300.464285714286,0.0509928571428571,66.20714285714286,0.0,0.0,0.0,0.0107142857142857,0.0178571428571428,0.1428571428571428,19.0,38.63434,-121.499686,W,ML,0.14875844103056785,1.4875844103056783
20,312382,3.0,99.0,0.367,346.7857142857143,92.89285714285714,2085.464285714286,0.0456321428571428,66.79642857142856,0.0,0.0,0.0035714285714285,0.0071428571428571,0.0142857142857142,0.0321428571428571,19.0,38.473227,-121.421498,N,ML,0.13485556715411406,1.3485556715411406
21,312386,3.0,99.0,0.3729999999999999,347.10714285714283,96.42857142857144,2608.0,0.0303678571428571,68.26071428571429,0.0,0.0,0.0035714285714285,0.0035714285714285,0.0071428571428571,0.0107142857142857,19.0,38.477038,-121.425542,N,ML,0.16864509334786745,1.6864509334786746
22,312388,3.0,99.0,0.341,347.1428571428572,96.42857142857144,2924.3571428571427,0.0565392857142857,66.34285714285714,0.0,0.0,0.0,0.0,0.0,0.0214285714285714,19.0,38.48152799999999,-121.430345,N,ML,0.18910217919464947,1.8910217919464947
23,312420,3.0,99.0,0.322,334.2857142857143,89.28571428571429,3646.107142857143,0.0799571428571428,64.57142857142857,0.0,0.0,0.0,0.0071428571428571,0.0178571428571428,0.1357142857142857,19.0,38.484562,-121.433775,S,ML,0.23577380347525662,2.357738034752566
24,312421,3.0,99.0,0.46,344.25,96.42857142857144,3110.428571428572,0.0937714285714285,65.00357142857142,0.0,0.0,0.0,0.0035714285714285,0.05,0.2357142857142857,19.0,38.488691,-121.437961,N,ML,0.20113440060599908,2.011344006059991
