,0,1,2,3,4,5,6,7,8,9,10,11
0,scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging
1,0,0,90,0.95,430,True,4.410677083333334,4.433072916666666,0,"(1.0, 1.0, 1.5875912366144163, 1.0651423310186012, 0.09479421672237355)","(0.0, 0.0, 1.6, 0.020148148148148148, 0.15684852416777048)","(0, 0.0, 14, 0.5303703703703704, 2.2158109985610928)"
2,0,1,90,0.95,430,True,1.5367187500000001,1.5796875,0,"(1.002158683147895, 1.5132328852775723, 1.853444969244515, 1.4781556975395809, 0.23968433677641934)","(0.0, 0.0, 0.0, 0.0, 0.0)","(0, 0.0, 5, 0.13538461538461538, 0.701740861491185)"
3,0,2,90,0.95,430,True,1.5135416666666666,1.5515625,0,"(1.002158683147895, 1.5180309281561475, 1.853444969244515, 1.4689354771410057, 0.2483393910690229)","(0.0, 0.0, 0.2, 0.00041884816753926706, 0.00914298636772485)","(0, 0.0, 5, 0.1130890052356021, 0.6645759088884631)"
4,0,3,90,0.95,430,True,1.56484375,1.5903645833333333,0,"(1.002158683147895, 1.5577397348445596, 2.030639957415375, 1.5129926070225992, 0.23269314332399837)","(0.0, 0.0, 1.4, 0.004640883977900552, 0.07114306096929245)","(0, 0.0, 5, 0.16132596685082873, 0.7855366669173242)"
5,0,4,90,0.95,430,True,1.5638020833333335,1.5888020833333334,0,"(1.002158683147895, 1.5207256867161636, 1.9198777779199907, 1.4861985935038011, 0.23318556762545573)","(0.0, 0.0, 0.8, 0.002745512143611405, 0.039437192502885146)","(0, 0.0, 5, 0.12038014783526928, 0.6880152677104802)"
6,0,4,90,0.95,430,True,1.4994791666666665,1.53203125,0,"(1.002158683147895, 1.5138872665000136, 2.1623524641186007, 1.5172814998662638, 0.31913739024721915)","(0.0, 0.0, 0.0, 0.0, 0.0)","(0, 0.0, 5, 0.12164948453608247, 0.6716999213602787)"
7,1,0,45,1.9,430,True,11.282812499999999,11.337239583333334,0,"(1.0, 1.1091887087604793, 2.9138021295376904, 1.1826703959513805, 0.2538987771935697)","(0.0, 0.0, 4.4, 0.09554285714285714, 0.4229050783640727)","(0, 0.0, 22, 0.9622857142857143, 2.883996320301086)"
8,1,1,45,1.9,430,True,7.744010416666667,7.7796875,0,"(1.002158683147895, 1.5713507080288427, 3.3624375703055263, 1.568278426180188, 0.3990946343819949)","(0.0, 0.0, 4.2, 0.06302521008403361, 0.3163248904832524)","(0, 0.0, 16, 0.8403361344537815, 2.453431347564001)"
9,1,2,45,1.9,430,True,8.684635416666667,8.702083333333333,0,"(1.002158683147895, 1.5713507080288427, 3.4917620922403545, 1.5862523364903383, 0.43748086973124545)","(0.0, 0.0, 4.6, 0.07849927849927851, 0.46370370330454974)","(0, 0.0, 15, 0.8066378066378066, 2.3789873390053713)"
