,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging,most_utilized_node,least_utilized_node,strongly_connected_components,weakly_connected_components
1,0,0,45,1.9,215,True,43.90078125,44.14869791666667,0,"(1.0, 1.0, 4.529187227438623, 1.2179298304197967, 0.6901577502575181)","(0.0, 0.0, 6.2, 0.30405405405405406, 1.0831559480928725)","(0, 0.0, 11, 1.0337837837837838, 2.980602924089082)",37,1,296,44
2,0,1,45,1.9,215,True,37.76510416666667,37.8390625,0,"(1.0, 1.0, 5.453842132056268, 1.2855760066646609, 0.8155778809344603)","(0.0, 0.0, 6.4, 0.31142857142857144, 1.0704528890871856)","(0, 0.0, 11, 1.0357142857142858, 2.9985966105251736)",16,2,292,44
3,0,2,45,1.9,215,True,33.330989583333334,33.90026041666667,0,"(1.0, 1.0313241963301016, 5.278786826544378, 1.3396235925385607, 0.8274496984614712)","(0.0, 0.0, 6.4, 0.3277777777777777, 1.085183605105663)","(0, 0.0, 11, 1.2685185185185186, 3.2525578201031036)",8,3,280,45
