,OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
716,717,MD/HD-300 - MD/HD-200,3,2,67,,91.1943089274868,,167.85589242679248,,,,115.36004775974592,1.582708711063904
726,727,MD/HD-300 - MD/HD-200,3,34,77,,126.83923057591504,,199.90438409564985,,,,142.25143745870022,1.360895352294407
728,729,MD/HD-300 - MD/HD-400,3,4,79,,114.19997347782544,,207.15397726482007,,,,143.30177851539847,1.560191784282714
749,750,MD/HD-300 - MD-150,3,10,100,,141.56202192796724,,252.92762502406683,,,,175.0199955042206,2.361910075188709
756,757,MD/HD-300 - MD-450,3,13,107,,150.69238942116235,,269.0821042430016,,,,187.2749890765852,2.175296005293716
757,758,MD/HD-300 - MD-250,3,35,108,,151.51547085479567,,269.34766450627245,,,,187.72266743574093,2.098239043299961
784,785,MD/HD-300 - MD/HD-00,3,26,135,,199.72081893755407,,311.02162686314773,,,,234.42844463134756,2.856735571241157
785,786,MD/HD-300 - MD/HD-00,3,21,136,,197.58938886679215,,314.4914214382619,,,,232.12217281517803,2.884257971873664
786,787,MD/HD-300 - MD/HD-00,3,29,137,,190.7263495741201,,314.53270557180207,,,,227.33654027660705,2.88784414248698
797,798,MD/HD-300 - IMD/HD-00,3,30,148,,218.38785775042112,,329.3774316176026,,,,253.01642070194487,2.961512174970475
801,802,MD/HD-300 - MD/HD-00,3,41,152,,200.79321762236577,,335.84280042157246,,,,239.7021860678884,2.835582939226962
802,803,MD/HD-300 - MD/HD-100,3,9,153,,224.7796079872958,,339.6698041010524,,,,260.3002264052992,3.176353056026572
815,816,MD/HD-300 - MD-50,3,42,166,,214.0070246671143,,359.75676105459723,,,,255.39280259764948,2.98285244205351
824,825,MD/HD-300 - MD/HD-500,3,5,175,,204.76082918133608,,366.2428904123233,,,,251.3822649178169,3.007394394036974
825,826,MD/HD-300 - MD/HD-100,3,43,176,,207.58908035935409,,368.3370757308261,,,,254.35584123682415,2.968985274928279
827,828,MD/HD-300 - MD-50,3,28,178,,229.08905151498763,,368.72019648252166,,,,267.88246831616806,3.340460790358528
838,839,MD/HD-300 - MD-50,3,23,189,,240.9699002315156,,382.2347338733248,,,,279.63758712630863,3.440899055789563
839,840,MD/HD-300 - MD/HD-200,3,36,190,,219.52879891278425,,383.4271678609044,,,,265.08839147194453,2.943963197420399
841,842,MD/HD-300 - MD-50,3,27,192,,248.05892175397125,,392.5338893317863,,,,287.7821969903084,3.541070293737351
862,863,MD/HD-300 - MD-50,3,8,213,,278.8324602894787,,424.75809563952896,,,,320.74907626069927,3.926960633542275
867,868,MD/HD-300 - MD-350,3,39,218,,256.4893734618854,,444.3548988906679,,,,309.0238089397047,3.677973262593711
871,872,MD/HD-300 - MD-250,3,37,222,,256.3384035846648,,447.4997761504477,,,,308.1952851649438,3.214526904434374
872,873,MD/HD-300 - MD-550,3,14,223,,249.33638102812853,,447.83239528865056,,,,306.91198034876646,3.731111847264781
878,879,MD/HD-300 - MD/HD-100,3,22,229,,291.06738345598166,,456.9794656331396,,,,336.9748440950087,4.141478507742802
885,886,MD/HD-300 - MD/HD-00,3,17,236,,322.75185215686,,480.626085289941,,,,366.7556707340205,4.405786420205692
897,898,MD/HD-300 - MD/HD-400,3,40,248,,294.89715871663475,,502.82528573732895,,,,351.7240991601274,4.155517625274551
907,908,MD/HD-300 - MD/HD-300,3,38,258,,297.0761474627407,,516.1789219462268,,,,355.19424324659866,3.275864169868012
911,912,MD/HD-300 - MD/HD-600,3,6,262,,293.2874803458832,,528.745474668823,,,,362.0534545333308,4.363576946281087
920,921,MD/HD-300 - MD-150,3,24,271,,330.26576469981444,,540.7926353003824,,,,387.7355941486432,4.974444174185138
923,924,MD/HD-300 - MD-50,3,18,274,,365.23740628829154,,556.3316955636957,,,,416.38824366293017,4.882491627974093
937,938,MD/HD-300 - MD-650,3,15,288,,355.95649097816005,,602.5116180156516,,,,420.21375859246547,5.02748413626685
947,948,MD/HD-300 - MD/HD-100,3,19,298,,407.77456799912176,,638.8914774247593,,,,476.86082953883704,5.399245621433117
950,951,MD/HD-300 - MD/HD-200,3,25,301,,389.0994229603005,,652.0700721368556,,,,462.6970533371936,5.730349172853219
958,959,MD/HD-300 - MD-150,3,20,309,,418.56513686536965,,689.0298654976544,,,,489.5420669219373,6.12274829012323
960,961,MD/HD-300 - MD/HD-700,3,16,311,,414.37506015788415,,701.2488145150376,,,,487.40058906197254,5.688153007148339
968,969,MD/HD-300 - MD-750,3,7,319,,449.1380452071493,,763.2413115417213,,,,529.2776217957517,6.222563547738426
975,976,MD/HD-400 - MD/HD-400,4,4,1,,0.0,,0.0,,,,0.0,0.0
994,995,MD/HD-400 - MD/HD-200,4,34,20,,46.579658369136894,,59.56925753071116,,,,47.0896081733347,0.529682641038815
1002,1003,MD/HD-400 - MD-350,4,12,28,,43.10109201987555,,79.93959366648652,,,,54.504268408968095,0.766003822012972
1003,1004,MD/HD-400 - MD-450,4,13,29,,49.7132044284792,,80.73180221117907,,,,59.53713439167534,0.655243605981254
1004,1005,MD/HD-400 - MD-250,4,35,30,,50.536285862112514,,80.99736247444989,,,,59.984812750831054,0.588754442523647
1014,1015,MD/HD-400 - MD-150,4,33,40,,85.86723463119526,,131.83735762157454,,,,98.2125271309682,1.245959515389191
1028,1029,MD/HD-400 - MD/HD-00,4,41,54,,99.81403262968264,,147.49249838974967,,,,111.96433138297836,1.340307126496582
1035,1036,MD/HD-400 - Location 173,4,216,61,,85.65655912174407,,159.0403740640065,,,,108.60514558951256,1.536520565089443
1037,1038,MD/HD-400 - MD/HD-300,4,3,63,,86.65683247576834,,161.36653535259347,,,,110.02263774040476,1.560191784282714
1043,1044,MD/HD-400 - MD-50,4,42,69,,113.02783967443136,,171.40645902277444,,,,127.65494791273974,1.429823454161811
1049,1050,MD/HD-400 - MD/HD-500,4,5,75,,103.78164418865308,,177.89258838050063,,,,123.64441023290694,1.500710699958757
1050,1051,MD/HD-400 - MD/HD-100,4,43,76,,106.60989536667108,,179.98677369900344,,,,126.61798655191416,1.436097447005002
1059,1060,MD/HD-400 - MD/HD-200,4,36,85,,118.54961392010148,,195.07686582908204,,,,137.3505367870341,1.516626388756332
1061,1062,MD/HD-400 - MD/HD-100,4,32,87,,131.89840170630652,,205.99115416222963,,,,152.71947935959744,1.925925475859061
1080,1081,MD/HD-400 - MD-250,4,11,106,,135.6990638398489,,245.29215831127587,,,,170.80942698860042,2.367313626387345
1086,1087,MD/HD-400 - MD-350,4,39,112,,155.51018846920226,,256.00459685884545,,,,181.28595425479463,2.201620716191182
1090,1091,MD/HD-400 - MD-250,4,37,116,,155.35921859198191,,259.1494741186253,,,,180.4574304800332,1.953452748911678
1091,1092,MD/HD-400 - MD-550,4,14,117,,148.35719603544544,,259.48209325682814,,,,179.174125663857,2.188617669773442
1101,1102,MD/HD-400 - MD-50,4,31,127,,153.0661830601314,,269.6644215976584,,,,185.92282180561708,2.466202256907552
1117,1118,MD/HD-400 - MD/HD-400,4,40,143,,193.91797372395155,,314.47498370550676,,,,223.9862444752172,2.671993704398188
1125,1126,MD/HD-400 - MD/HD-300,4,38,151,,196.0969624700578,,327.8286199144047,,,,227.45638856168827,2.280719438463347
1126,1127,MD/HD-400 - MD/HD-200,4,2,152,,177.85114140325518,,329.222427779386,,,,225.38268550015067,3.138885880296651
1128,1129,MD/HD-400 - MD/HD-600,4,6,154,,192.30829535320015,,340.3951726370004,,,,234.3155998484212,2.850505377049329
1156,1157,MD/HD-400 - MD-650,4,15,182,,254.97730598547648,,414.1613159838293,,,,292.4759039075552,3.529147638060739
1157,1158,MD/HD-400 - MD-150,4,10,183,,228.21885440373563,,414.2941603766598,,,,285.0426332446248,3.921556687499739
1187,1188,MD/HD-400 - MD/HD-00,4,26,213,,286.37765141332284,,472.38816221574086,,,,344.45108237175134,4.413764249954149
1190,1191,MD/HD-400 - MD/HD-00,4,21,216,,284.2462213425604,,475.8579567908551,,,,342.14481055558247,4.439253019657889
1191,1192,MD/HD-400 - MD/HD-00,4,29,217,,277.3831820498884,,475.8992409243952,,,,337.35917801701146,4.438996437336811
1202,1203,MD/HD-400 - IMD/HD-00,4,30,228,,305.0446902261896,,490.74396697019586,,,,363.0390584423484,4.521485883816878
1203,1204,MD/HD-400 - MD/HD-100,4,9,229,,311.43644046306434,,501.0363394536455,,,,370.3228641457032,4.734432628751356
1209,1210,MD/HD-400 - MD/HD-700,4,16,235,,313.39587516520044,,512.8985124832153,,,,359.6627343770622,4.223654049847581
1221,1222,MD/HD-400 - MD-50,4,28,247,,315.745883990756,,530.0867318351144,,,,377.9051060565724,4.867239863070778
1227,1228,MD/HD-400 - MD-50,4,23,253,,327.626732707284,,543.6012692259177,,,,389.6602248667132,4.968432510833681
1229,1230,MD/HD-400 - MD-50,4,27,255,,334.71575422973996,,553.900424684379,,,,397.8048347307128,5.073972635664762
1243,1244,MD/HD-400 - MD-750,4,7,269,,348.15886021446573,,574.8910095098993,,,,401.5397671108415,4.744262206401349
1249,1250,MD/HD-400 - MD-50,4,8,275,,365.4892927652475,,586.1246309921221,,,,430.7717140011032,5.485625742963447
1260,1261,MD/HD-400 - MD/HD-100,4,22,286,,377.72421593175,,618.3460009857325,,,,446.9974818354133,5.644333646119602
1265,1266,MD/HD-400 - MD/HD-00,4,17,291,,409.4086846326288,,641.9926206425341,,,,476.7783084744243,5.965748436768138
