,Unnamed: 0,OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length,longitude,latitude,longitude_dst,latitude_dst,speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23
975,975,976,MD/HD-400 - MD/HD-400,4,4,1,,0.0,,0.0,,,,0.0,0.0,-121.0904454,37.25152051,-121.0904454,37.25152051,66.78888888888888,67.26666666666667,66.76666666666668,65.53703703703705,65.6222222222222,65.58518518518518,65.92222222222222,65.62592592592593,65.39999999999999,65.46296296296296,65.47407407407407,65.31481481481481,65.14814814814814,64.26296296296296,65.04814814814814,66.35185185185186,66.93333333333332,66.97407407407407,67.05555555555556,67.07777777777778,66.99629629629631,67.22962962962963,67.21481481481482,67.45185185185184
994,994,995,MD/HD-400 - MD/HD-200,4,34,20,,46.579658369136894,,59.56925753071116,,,,47.0896081733347,0.529682641038815,-121.0904454,37.25152051,-120.5670424,37.33338861,63.13908730158729,61.92261904761904,62.34583333333334,62.43280423280424,63.166468253968254,64.41580687830688,63.09146825396826,63.30046296296295,61.48571428571428,61.83148148148148,61.71917989417989,61.82526455026455,62.08121693121693,62.16005291005291,63.07050264550263,64.07056878306878,64.5577380952381,64.83167989417989,64.14742063492064,64.30496031746031,64.5035052910053,64.90410052910052,64.19669312169313,64.04199735449735
1002,1002,1003,MD/HD-400 - MD-350,4,12,28,,43.10109201987555,,79.93959366648652,,,,54.504268408968095,0.766003822012972,-121.0904454,37.25152051,-120.6254974,36.64272216,66.88015873015871,66.91369047619048,66.52083333333334,65.66673280423282,65.15396825396824,64.99259259259259,61.98611111111112,62.70046296296296,63.27321428571429,63.42969576719577,64.16025132275132,64.91276455026454,65.50085978835978,65.51183862433862,65.28835978835978,65.13306878306878,64.60416666666667,64.22810846560846,63.37420634920635,63.35317460317461,63.6910052910053,66.70052910052911,67.15383597883599,67.30271164021164
1003,1003,1004,MD/HD-400 - MD-450,4,13,29,,49.7132044284792,,80.73180221117907,,,,59.53713439167534,0.655243605981254,-121.0904454,37.25152051,-121.2748616,37.88011416,67.340873015873,66.9672619047619,66.96190476190478,66.2399470899471,65.9361111111111,66.64973544973545,63.56289682539682,63.31653439153439,62.5017857142857,61.71541005291005,61.79596560846561,61.67526455026455,61.88300264550264,61.51719576719577,60.55978835978836,57.79378306878307,56.12202380952381,58.04596560846561,63.46170634920635,65.63353174603175,66.26421957671958,67.3398148148148,67.55205026455027,68.01878306878307
1004,1004,1005,MD/HD-400 - MD-250,4,35,30,,50.536285862112514,,80.99736247444989,,,,59.984812750831054,0.588754442523647,-121.0904454,37.25152051,-121.2161099,37.82666758,67.17658730158729,67.09761904761905,66.88869047619048,66.25601851851852,66.17896825396825,66.45687830687831,63.891468253968256,63.1058201058201,62.35892857142856,61.46719576719577,61.24239417989418,61.10205026455026,61.18300264550264,61.54398148148148,62.86871693121692,64.96164021164022,66.28095238095237,67.23525132275131,67.2563492063492,67.34246031746034,67.28564814814814,67.35588624338624,67.3449074074074,67.17949735449736
1014,1014,1015,MD/HD-400 - MD-150,4,33,40,,85.86723463119526,,131.83735762157454,,,,98.2125271309682,1.245959515389191,-121.0904454,37.25152051,-119.9169065,36.83281249,65.64265873015873,65.66904761904763,64.90476190476191,64.01494708994709,64.60575396825396,65.10330687830687,64.82718253968252,64.58974867724866,63.91071428571428,62.71005291005291,61.89060846560847,61.90562169312169,61.62407407407407,61.12255291005292,61.82943121693121,62.993783068783074,64.34702380952379,65.37810846560846,65.36170634920634,65.71031746031747,65.38921957671958,65.7505291005291,65.70740740740742,65.4455687830688
1028,1028,1029,MD/HD-400 - MD/HD-00,4,41,54,,99.81403262968264,,147.49249838974967,,,,111.96433138297836,1.340307126496582,-121.0904454,37.25152051,-122.3022929,37.8239477,67.33015873015871,67.5047619047619,67.1904761904762,66.56137566137566,66.66111111111111,66.67830687830687,66.38253968253967,65.72724867724867,65.17857142857143,64.92433862433862,64.91560846560847,64.8216931216931,64.70978835978835,64.22433862433863,64.46693121693121,65.03306878306879,65.50952380952381,65.77275132275132,66.41349206349207,67.1031746031746,67.1910052910053,67.39338624338623,67.55740740740741,67.65449735449735
1043,1043,1044,MD/HD-400 - MD-50,4,42,69,,113.02783967443136,,171.40645902277444,,,,127.65494791273974,1.429823454161811,-121.0904454,37.25152051,-122.1577846,38.20273369,66.44623015873016,66.47619047619048,65.9922619047619,65.60066137566139,66.02896825396826,65.99794973544974,63.27182539682539,63.82546296296296,63.33749999999999,62.41541005291005,62.42453703703704,62.75740740740741,62.91335978835978,63.02433862433863,64.5401455026455,65.72771164021165,66.33273809523808,66.34239417989417,65.97242063492064,65.96746031746032,66.34636243386245,66.68624338624339,66.66812169312169,66.80985449735451
1049,1049,1050,MD/HD-400 - MD/HD-500,4,5,75,,103.78164418865308,,177.89258838050063,,,,123.64441023290694,1.500710699958757,-121.0904454,37.25152051,-121.5762612,38.67137,66.02123015873015,65.88511904761904,65.56190476190477,65.18637566137566,65.56646825396824,65.58009259259259,63.89861111111111,63.04332010582012,62.707142857142856,62.14398148148148,61.970965608465605,62.1699074074074,62.44193121693121,62.08683862433862,63.12585978835979,64.87414021164021,65.70416666666667,65.56203703703703,65.47242063492064,65.28353174603176,65.38207671957673,66.48267195767195,66.57526455026455,66.36699735449736
1050,1050,1051,MD/HD-400 - MD/HD-100,4,43,76,,106.60989536667108,,179.98677369900344,,,,126.61798655191416,1.436097447005002,-121.0904454,37.25152051,-121.6941664,38.55458916,67.47301587301587,67.61904761904762,67.07440476190476,66.41316137566139,66.28789682539683,66.86759259259259,65.49325396825397,64.67189153439153,63.596428571428575,63.59755291005292,62.89953703703703,61.94669312169312,61.15800264550264,58.46183862433863,54.55085978835979,50.15806878306879,48.83988095238095,48.883465608465606,54.85992063492063,61.88353174603174,65.205291005291,66.6023148148148,67.65205026455027,67.7741402116402
1059,1059,1060,MD/HD-400 - MD/HD-200,4,36,85,,118.54961392010148,,195.07686582908204,,,,137.3505367870341,1.516626388756332,-121.0904454,37.25152051,-121.2634409,38.75823882,65.88730158730158,66.10654761904763,65.84940476190476,65.24708994708996,65.31825396825396,65.25152116402117,65.23611111111111,64.66474867724868,64.62499999999999,64.80648148148148,64.41382275132275,64.31097883597883,64.53300264550265,63.11541005291005,63.74193121693122,63.38306878306879,63.84523809523809,62.57632275132275,64.58492063492064,65.79960317460318,65.7535052910053,65.91124338624338,65.91455026455027,66.19556878306878
1061,1061,1062,MD/HD-400 - MD/HD-100,4,32,87,,131.89840170630652,,205.99115416222963,,,,152.71947935959744,1.925925475859061,-121.0904454,37.25152051,-119.4004799,36.32774805,66.72480158730158,66.57083333333333,66.03333333333333,65.72923280423282,66.24503968253967,66.69794973544973,65.77361111111111,65.79867724867725,64.79999999999998,63.64041005291005,63.3834656084656,63.47347883597884,63.49907407407407,63.16541005291005,63.69907407407408,65.02949735449737,66.30238095238096,66.77096560846562,66.37777777777777,66.63710317460318,66.2535052910053,67.21838624338625,67.53419312169312,67.11521164021164
1080,1080,1081,MD/HD-400 - MD-250,4,11,106,,135.6990638398489,,245.29215831127587,,,,170.80942698860042,2.367313626387345,-121.0904454,37.25152051,-119.510578,35.48787441,66.9176587301587,66.72976190476192,66.49404761904762,65.64173280423282,65.95218253968254,66.56580687830689,65.25575396825397,64.80224867724868,64.52499999999998,64.87612433862435,65.64775132275132,65.16097883597884,64.23121693121692,62.293981481481474,61.7276455026455,62.84735449735451,63.00059523809523,63.57989417989417,63.37599206349206,63.33710317460319,63.89814814814816,67.05231481481482,66.87705026455026,66.74735449735448
1086,1086,1087,MD/HD-400 - MD-350,4,39,112,,155.51018846920226,,256.00459685884545,,,,181.28595425479463,2.201620716191182,-121.0904454,37.25152051,-121.68792,39.37050877,66.50515873015873,66.67261904761905,66.37261904761905,65.75958994708995,65.76825396825396,65.64794973544973,65.50218253968254,65.40939153439155,65.46785714285713,64.91005291005291,64.89239417989418,64.67883597883596,64.90800264550265,64.31541005291004,64.75264550264549,65.66521164021165,65.89523809523808,66.08882275132274,66.02242063492064,66.01031746031745,65.81243386243386,66.14160052910051,66.3324074074074,66.60806878306877
1090,1090,1091,MD/HD-400 - MD-250,4,37,116,,155.35921859198191,,259.1494741186253,,,,180.4574304800332,1.953452748911678,-121.0904454,37.25152051,-120.8322722,39.1878654,66.40694444444443,66.14761904761905,65.94940476190476,65.38816137566138,65.38968253968252,65.75330687830687,66.27003968253968,66.37189153439152,66.11428571428571,66.29219576719578,65.82989417989417,64.44669312169312,63.96335978835978,62.672552910052914,63.63835978835978,65.28664021164022,66.55059523809523,66.47275132275132,66.14563492063492,66.25853174603175,66.38386243386245,66.19874338624338,66.03597883597882,66.38485449735447
1091,1091,1092,MD/HD-400 - MD-550,4,14,117,,148.35719603544544,,259.48209325682814,,,,179.174125663857,2.188617669773442,-121.0904454,37.25152051,-122.1534186,39.16514466,67.953373015873,68.11190476190477,67.89047619047619,67.19708994708995,67.11646825396824,67.02652116402118,66.97539682539681,67.12367724867724,66.71428571428572,65.96541005291004,65.78167989417989,66.05562169312168,65.99371693121692,65.67076719576718,66.58835978835978,67.6348544973545,67.7702380952381,67.89596560846562,67.82599206349207,67.8906746031746,67.94279100529101,67.86481481481482,68.01097883597885,68.05806878306878
1094,1094,1095,MD/HD-400 - Location 249,4,292,120,,157.0993262348422,,262.09626298581054,,,,182.49265389336767,1.937922718874141,-121.0904454,37.25152051,-120.8577543,39.17547903,66.40694444444443,66.14761904761905,65.94940476190476,65.38816137566138,65.38968253968252,65.75330687830687,66.27003968253968,66.37189153439152,66.11428571428571,66.29219576719578,65.82989417989417,64.44669312169312,63.96335978835978,62.672552910052914,63.63835978835978,65.28664021164022,66.55059523809523,66.47275132275132,66.14563492063492,66.25853174603175,66.38386243386245,66.19874338624338,66.03597883597882,66.38485449735447
1101,1101,1102,MD/HD-400 - MD-50,4,31,127,,153.0661830601314,,269.6644215976584,,,,185.92282180561708,2.466202256907552,-121.0904454,37.25152051,-119.2185262,35.64566432,67.46408730158728,67.25297619047619,66.82440476190476,66.3649470899471,66.41468253968253,67.57473544973546,66.68253968253968,66.28796296296296,65.40714285714284,65.46362433862433,65.52453703703704,64.9681216931217,64.93121693121692,64.52969576719576,64.54371693121693,66.17949735449736,66.45773809523808,67.3584656084656,66.78492063492062,66.94246031746032,67.53564814814816,68.08981481481482,67.70383597883598,67.54378306878306
1117,1117,1118,MD/HD-400 - MD/HD-400,4,40,143,,193.91797372395155,,314.4749837055068,,,,223.9862444752172,2.671993704398188,-121.0904454,37.25152051,-121.9028835,39.79701354,65.96797385620914,66.14215686274511,65.88039215686275,65.36851851851853,65.26993464052288,66.05729847494553,63.79052287581699,62.798257080610014,61.826470588235296,61.47854030501089,61.41350762527233,61.27799564270152,61.19466230936818,60.9255991285403,61.32113289760348,62.24945533769064,62.69901960784313,62.78997821350762,62.98071895424837,64.33300653594772,65.68932461873638,66.57657952069717,66.62211328976035,66.41710239651415
1125,1125,1126,MD/HD-400 - MD/HD-300,4,38,151,,196.0969624700578,,327.8286199144047,,,,227.45638856168827,2.280719438463347,-121.0904454,37.25152051,-120.1676519,39.33728171,64.99444444444444,65.24940476190477,65.26726190476191,64.61673280423281,64.9093253968254,64.82294973544973,65.34861111111111,64.98260582010582,64.85892857142858,65.00291005291005,64.82275132275132,64.29312169312169,64.35085978835978,63.965410052910045,65.20443121693123,66.17056878306879,66.36488095238096,66.07632275132275,65.83313492063492,65.82103174603175,65.76243386243387,65.80231481481482,65.72705026455026,65.80092592592592
1128,1128,1129,MD/HD-400 - MD/HD-600,4,6,154,,192.30829535320012,,340.3951726370004,,,,234.3155998484212,2.850505377049329,-121.0904454,37.25152051,-122.1957018,39.87779051,66.28373015873015,66.48154761904762,66.28690476190476,65.4417328042328,65.53968253968253,65.67473544973545,66.61468253968253,64.9183201058201,64.38035714285714,63.98862433862434,64.27275132275132,64.43597883597883,64.59193121693121,64.42791005291005,65.3383597883598,66.07771164021165,66.59166666666667,66.21917989417989,66.2420634920635,66.60674603174604,66.69636243386245,66.54517195767195,66.37526455026455,66.42771164021163
1156,1156,1157,MD/HD-400 - MD-650,4,15,182,,254.97730598547648,,414.1613159838293,,,,292.4759039075552,3.529147638060739,-121.0904454,37.25152051,-122.3519506,40.54784215,66.28373015873015,66.48154761904762,66.28690476190476,65.4417328042328,65.53968253968253,65.67473544973545,66.61468253968253,64.9183201058201,64.38035714285714,63.98862433862434,64.27275132275132,64.43597883597883,64.59193121693121,64.42791005291005,65.3383597883598,66.07771164021165,66.59166666666667,66.21917989417989,66.2420634920635,66.60674603174604,66.69636243386245,66.54517195767195,66.37526455026455,66.42771164021163
1157,1157,1158,MD/HD-400 - MD-150,4,10,183,,228.21885440373563,,414.2941603766598,,,,285.0426332446248,3.921556687499739,-121.0904454,37.25152051,-118.4902995,34.31584212,66.25515873015874,66.44404761904762,66.08333333333334,65.51673280423282,65.74146825396825,65.59437830687831,63.57182539682539,58.80224867724869,57.817857142857136,62.61719576719577,63.12275132275133,63.16097883597884,63.19193121693121,62.47433862433863,62.865145502645504,63.06342592592593,62.92916666666666,61.96382275132275,62.36349206349207,63.38174603174603,64.33207671957673,66.60588624338624,66.57705026455025,66.5491402116402
1187,1187,1188,MD/HD-400 - MD/HD-00,4,26,213,,286.37765141332284,,472.38816221574086,,,,344.45108237175134,4.413764249954149,-121.0904454,37.25152051,-118.0638723,34.03869644,66.81230158730158,66.9779761904762,66.35119047619048,65.75958994708995,66.41468253968253,66.55330687830687,62.27361111111111,61.17010582010583,61.42321428571428,60.81541005291005,61.73882275132274,61.07347883597883,61.9026455026455,62.05648148148147,62.60800264550264,64.00806878306878,64.60416666666666,63.30846560846561,63.55813492063493,65.55674603174603,66.19636243386245,67.08624338624338,66.9324074074074,67.24378306878307
1190,1190,1191,MD/HD-400 - MD/HD-00,4,21,216,,284.2462213425604,,475.8579567908551,,,,342.14481055558247,4.439253019657889,-121.0904454,37.25152051,-117.9998628,34.06477768,66.29980158730157,66.15654761904761,66.56011904761905,65.84351851851852,66.18789682539682,66.08544973544974,65.78789682539681,65.79867724867725,65.1,64.95469576719576,64.65667989417989,64.35383597883597,64.28121693121693,61.9725529100529,59.4026455026455,58.96342592592593,58.9220238095238,59.13703703703703,60.41527777777779,63.599603174603175,66.55707671957673,67.19338624338624,66.81276455026455,66.86699735449736
