,Unnamed: 0,OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length,longitude,latitude,longitude_dst,latitude_dst,speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23
325,325,326,MD/HD-200 - MD/HD-200,2,2,1,,0.0,,0.0,,,,0.0,0.0,-118.9387628,34.96606411,-118.9387628,34.96606411,68.15357142857142,67.94642857142858,67.15714285714286,66.86785714285715,66.67857142857142,67.14642857142857,65.07142857142858,66.16428571428573,67.12499999999999,67.61785714285716,66.26785714285712,65.17857142857143,63.82142857142856,62.98571428571428,62.69999999999999,63.35000000000001,64.13214285714287,65.10714285714285,63.746428571428574,65.17142857142858,64.58214285714287,68.27142857142859,68.01785714285714,68.23928571428571
326,326,327,MD/HD-200 - Location 187,2,230,2,,2.33803574529797,,3.076322065213351,,,,2.633570081868824,0.027037056318688,-118.9387628,34.96606411,-118.9423972,34.99278143,67.69107142857143,67.45535714285714,66.58035714285714,66.56964285714287,65.7642857142857,66.71964285714286,63.59821428571429,64.69642857142858,65.94821428571427,66.82142857142858,65.56071428571428,64.48035714285714,63.0,62.37321428571428,62.21607142857143,62.8107142857143,63.600000000000016,64.34285714285714,62.85714285714286,64.46607142857144,64.15535714285716,67.775,67.38214285714285,67.85178571428571
327,327,328,MD/HD-200 - Location 195,2,238,3,,2.887935612924204,,3.696813049206387,,,,3.232996332272787,0.021814006647872,-118.9387628,34.96606411,-118.9511922,34.98387429,67.80535714285715,67.22142857142856,66.60892857142858,66.36607142857144,67.21071428571429,67.06964285714287,63.707142857142856,64.15892857142856,64.70714285714286,64.79285714285716,64.42142857142858,64.53392857142858,64.95357142857142,64.91607142857143,65.16607142857143,65.06428571428572,65.2,64.52142857142856,62.364285714285714,63.41785714285714,63.476785714285725,67.85535714285714,68.04107142857143,67.825
347,347,348,MD/HD-200 - MD-50,2,31,23,,46.16654388153256,,82.52280152718154,,,,56.58508974724785,0.73506548524134,-118.9387628,34.96606411,-119.2185262,35.64566432,68.14642857142857,67.59285714285716,67.01964285714286,67.03035714285714,66.94285714285714,68.35535714285714,66.25714285714287,66.55714285714286,66.26964285714286,66.54107142857143,65.92142857142856,64.9,64.26785714285714,63.89107142857142,63.36964285714286,64.67857142857143,65.05714285714286,66.42499999999998,65.13035714285714,65.98928571428571,66.32857142857144,68.6107142857143,68.10535714285714,67.9375
348,348,349,MD/HD-200 - MD-250,2,11,24,,51.21724311318168,,83.82349250578153,,,,61.62995681193901,0.774568023603357,-118.9387628,34.96606411,-119.510578,35.48787441,67.6,67.06964285714287,66.68928571428572,66.30714285714286,66.48035714285714,67.34642857142859,64.83035714285715,65.07142857142858,65.38749999999999,65.95357142857145,66.04464285714285,65.09285714285716,63.567857142857136,61.655357142857135,60.55357142857143,61.34642857142858,61.60000000000001,62.64642857142856,61.721428571428575,62.38392857142858,62.69107142857144,67.5732142857143,67.27857142857142,67.14107142857142
350,350,351,MD/HD-200 - MD-150,2,10,26,,58.94073887191578,,97.06656701840112,,,,69.51115610686804,0.789903204459457,-118.9387628,34.96606411,-118.4902995,34.31584212,66.9375,66.78392857142859,66.27857142857142,66.18214285714286,66.26964285714286,66.375,63.14642857142857,59.07142857142858,58.68035714285713,63.69464285714287,63.519642857142856,63.09285714285714,62.52857142857143,61.83571428571429,61.69107142857142,61.5625,61.52857142857143,61.03035714285714,60.70892857142857,62.42857142857143,63.125000000000014,67.12678571428572,66.97857142857143,66.94285714285715
382,382,383,MD/HD-200 - MD/HD-00,2,26,58,,117.0995358815026,,155.16056885748233,,,,128.91960523399487,1.274878880837742,-118.9387628,34.96606411,-118.0638723,34.03869644,67.49464285714285,67.31785714285715,66.54642857142858,66.425,66.94285714285715,67.33392857142857,61.84821428571429,61.43928571428573,62.28571428571428,61.89285714285715,62.13571428571427,61.00535714285714,61.239285714285714,61.41785714285713,61.43392857142857,62.50714285714286,63.20357142857144,62.375,61.90357142857144,64.60357142857143,64.98928571428573,67.60714285714286,67.33392857142857,67.6375
384,384,385,MD/HD-200 - MD/HD-00,2,21,60,,114.968105810741,,158.63036343259597,,,,126.61333341782552,1.301549352871461,-118.9387628,34.96606411,-117.9998628,34.06477768,66.98214285714286,66.49642857142857,66.75535714285715,66.50892857142858,66.71607142857141,66.86607142857143,65.36250000000001,66.06785714285715,65.96249999999999,66.03214285714286,65.05357142857142,64.28571428571429,63.61785714285713,61.33392857142856,58.22857142857142,57.462500000000006,57.52142857142857,58.20357142857142,58.76071428571429,62.64642857142857,65.35000000000001,67.71428571428572,67.21428571428572,67.26071428571429
385,385,386,MD/HD-200 - MD/HD-00,2,29,61,,108.10506651806848,,158.6716475661359,,,,121.82770087925408,1.306986447405049,-118.9387628,34.96606411,-117.9336964,34.13059933,66.88749999999999,66.50357142857143,66.10714285714286,66.375,67.63571428571427,66.16964285714286,57.46785714285714,54.30000000000001,54.7517857142857,57.80000000000001,57.99821428571427,58.823214285714286,58.317857142857136,57.75714285714285,57.3017857142857,58.83392857142857,57.985714285714295,54.85535714285714,59.13928571428572,63.87321428571429,64.55178571428573,67.66785714285714,67.56071428571428,67.32321428571429
387,387,388,MD/HD-200 - MD/HD-100,2,32,63,,92.64143057730632,,163.8995931623016,,,,113.78454887120736,1.437784958848606,-118.9387628,34.96606411,-119.4004799,36.32774805,67.40714285714286,66.91071428571429,66.22857142857143,66.39464285714287,66.77321428571429,67.47857142857143,65.34821428571429,66.06785714285715,65.6625,64.71785714285716,63.78035714285713,63.40535714285715,62.83571428571429,62.52678571428571,62.52499999999999,63.52857142857144,64.90178571428572,65.8375,64.72321428571428,65.68392857142858,65.04642857142858,67.73928571428573,67.93571428571428,67.50892857142858
