OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
707,MD/HD-00 - MD/HD-200,17,25,19,,213.949076770459982,,361.777310278334369,,,,257.244715363721525,2.412558440243217
708,MD/HD-00 - MD-50,17,31,20,,282.079469370324148,,401.367170124309041,,,,315.806478175498512,3.542036192494172
709,MD/HD-00 - MD-250,17,11,21,,287.130168601973139,,402.667861102909001,,,,320.851345240189687,3.598680843965993
710,MD/HD-00 - MD/HD-100,17,32,22,,328.554356066097967,,482.743961759428771,,,,373.005937299458026,4.210077745272620
711,MD/HD-00 - MD/HD-300,17,3,23,,325.822298656384646,,485.645965636930100,,,,373.301116584622719,4.405786420205692
712,MD/HD-00 - MD-150,17,33,24,,366.149268270795574,,553.539069539286970,,,,419.562448885214508,4.915366073914008
713,MD/HD-00 - MD-350,17,12,25,,373.481588530172871,,573.191273719105538,,,,433.524774140210582,5.201718699950739
714,MD/HD-00 - MD/HD-200,17,34,26,,416.584074927559072,,634.972110432680552,,,,478.949139856194392,5.700240952395351
715,MD/HD-00 - MD/HD-400,17,4,27,,420.264972845345710,,658.719564115377352,,,,492.255949973512145,5.965748436768138
716,MD/HD-00 - MD-250,17,35,28,,461.300471984880801,,718.102701829349144,,,,531.844244648459153,6.487578390757659
717,MD/HD-00 - MD-450,17,13,29,,456.757388788682590,,720.647691093558933,,,,536.229160534699190,6.566279752406224
718,MD/HD-00 - MD/HD-00,17,41,30,,506.858216989886557,,787.408387272128380,,,,588.656357526001557,7.214591479411323
719,MD/HD-00 - MD-50,17,42,31,,520.072024034634865,,811.322347905153833,,,,604.346974055762871,7.386732479145173
720,MD/HD-00 - MD/HD-500,17,5,32,,510.825828548856748,,817.808477262880388,,,,600.336436375931044,7.376178128115195
721,MD/HD-00 - MD/HD-100,17,43,33,,513.654079726874897,,819.902662581383424,,,,603.310012694938337,7.354945520454163
722,MD/HD-00 - MD/HD-200,17,36,34,,533.288914130944022,,834.826334667015544,,,,613.507730076115990,7.264796613162892
723,MD/HD-00 - MD-350,17,39,35,,562.554372829406020,,895.920485741224752,,,,657.977980397818669,8.009805880451863
724,MD/HD-00 - MD-250,17,37,36,,570.098518802824287,,898.898942956558471,,,,656.614623769114928,7.400102141841614
725,MD/HD-00 - MD-550,17,14,37,,555.401380395649880,,899.397982139208580,,,,655.866151806880907,8.118452414663231
726,MD/HD-00 - MD/HD-400,17,40,38,,600.962158084155021,,954.390872587886406,,,,700.678270618240958,8.483360550982912
727,MD/HD-00 - MD/HD-300,17,38,39,,610.836262680900404,,967.578088752337635,,,,703.613581850769947,7.229464852455766
728,MD/HD-00 - MD/HD-600,17,6,40,,599.352479713404819,,980.311061519380473,,,,711.007625991445138,8.717267505468953
729,MD/HD-00 - MD-650,17,15,41,,662.021490345679581,,1054.077204866208831,,,,769.167930050580026,9.356792404680615
730,MD/HD-00 - MD/HD-700,17,16,42,,720.440059525403285,,1152.814401365595359,,,,836.354760520087098,9.966157343781440
731,MD/HD-00 - MD-750,17,7,43,,755.203044574667501,,1214.806898392281028,,,,878.231793253865476,10.510504190068639
732,MD-50 - MD-50,18,18,1,,0.000000000000000,,0.000000000000000,,,,0.000000000000000,0.000000000000000
733,MD-50 - MD/HD-00,18,17,2,,46.968382178553931,,74.700667282971708,,,,54.383645046938987,0.677667197869521
734,MD-50 - MD/HD-100,18,19,3,,44.759885246217344,,80.714848153349379,,,,61.961526155746235,0.682880156619952
735,MD-50 - MD/HD-0,18,1,4,,53.101745050756300,,87.233367694176337,,,,61.993020466427126,0.589699570583105
736,MD-50 - MD-50,18,8,5,,81.535826618378110,,121.271821696368050,,,,90.056644063939714,1.005589004670880
737,MD-50 - MD-150,18,20,6,,88.351902757095189,,161.050472314325162,,,,116.696078572133032,1.526872821673663
